county,sitename,Date,pm2.5,pm10,no,no2,nox,co,so2,o3,AQI,status
NCR,Manila,2014-01-01,42.45071229516849,105.38889200422857,18.99393936524748,68.68083858220163,46.46763231214803,1.180797750852195,23.09449280389547,12.319120004628246,118.0,emergency
NCR,Manila,2014-02-01,32.92603548243223,77.35266866792806,22.808571606045827,57.52016191578687,42.57422876657134,0.7934635533194468,19.53625776719392,44.6870649920839,95.0,emergency
NCR,Manila,2014-03-01,44.71532807151039,99.910622831053,34.32503847615925,54.80741934986543,47.24020264779308,1.0009987395654585,26.546239143782348,26.98584461224852,124.0,emergency
NCR,Manila,2014-04-01,57.84544784612038,138.17987684474133,20.041346154008888,80.66712419291073,53.3754892838674,1.4288350620532382,34.518626653127846,48.524207074614914,152.0,emergency
NCR,Manila,2014-05-01,31.48769937914996,70.39026093751225,22.10078011087929,56.56242636081674,41.691499429998906,1.1207897496902002,17.809834841825243,51.07543768503752,92.0,emergency
NCR,Manila,2014-06-01,22.041561952033604,52.97473088538634,13.721625110875696,28.274537707086097,22.25796629351976,0.9405690633347448,6.708659345761385,30.03249845269659,72.0,acutely unhealthy
NCR,Manila,2014-07-01,41.081734562827606,63.8637384292968,17.064768036011195,61.448019454945495,41.61177737020705,1.3108994072633544,12.929564559154096,46.12698067932818,115.0,emergency
NCR,Manila,2014-08-01,32.55806465610554,63.685730112935545,22.07139197543564,49.67140535486087,38.02368258505715,0.8472810684911568,19.150469772546803,68.05950624772726,94.0,emergency
NCR,Manila,2014-09-01,19.570518947683,43.9729664433677,12.994003255501,21.983930715953623,18.53830500487095,0.6440508662761915,7.035749636245433,44.97765804268628,67.0,acutely unhealthy
NCR,Manila,2014-10-01,30.196880457652625,62.90903412816278,11.20349275768604,49.6827347740319,32.26970059181051,0.9028290293200526,17.131123671951176,35.228761241985296,89.0,acutely unhealthy
NCR,Manila,2014-11-01,28.048734607813067,46.98629116225364,15.458373690256682,37.31380629460013,27.96925539197411,0.5985624590123964,14.097702101785329,43.13336190335799,85.0,acutely unhealthy
NCR,Manila,2014-12-01,28.014053696446148,51.55964413989457,19.025619665191268,39.22692327508004,30.8738477583438,1.335598599454483,15.308026906669856,31.50027884805274,84.0,acutely unhealthy
